db_id,query,query_toks,question,question_toks,sql
GeoNuclearData,"SELECT Country FROM nuclear_power_plants WHERE Status = ""Operational"" GROUP BY Country ORDER BY count(Name) DESC LIMIT 10","['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'WHERE', 'Status', '=', '""Operational""', 'GROUP', 'BY', 'Country', 'ORDER', 'BY', 'count(Name)', 'DESC', 'LIMIT', '10']",What are the top 10 countries with most number of operational plants?,"['What', 'are', 'the', 'top', '10', 'countries', 'with', 'most', 'number', 'of', 'operational', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [[False, 2, [0, [0, 6, False], None], '""Operational""', None]], 'groupBy': [[0, 5, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 2, False], None]]], 'limit': 10, 'intersect': None, 'union': None, 'except': None}"
GeoNuclearData,"SELECT Name, Country FROM nuclear_power_plants WHERE Status = ""Planned""","['SELECT', 'Name,', 'Country', 'FROM', 'nuclear_power_plants', 'WHERE', 'Status', '=', '""Planned""']",What are the planed nuclear power plants and their located countries?,"['What', 'are', 'the', 'planed', 'nuclear', 'power', 'plants', 'and', 'their', 'located', 'countries?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 5, False], None]]]], 'where': [[False, 2, [0, [0, 6, False], None], '""Planned""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}"
GeoNuclearData,SELECT ReactorModel FROM nuclear_power_plants GROUP BY ReactorModel ORDER BY count(*) DESC LIMIT 1,"['SELECT', 'ReactorModel', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'ReactorModel', 'ORDER', 'BY', 'count(*)', 'DESC', 'LIMIT', '1']",What’s the most used nuclear reactor model?,"['What’s', 'the', 'most', 'used', 'nuclear', 'reactor', 'model?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 8, False], None]]]], 'where': [], 'groupBy': [[0, 8, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}"
Pesticide,"SELECT distst FROM sampledata15 WHERE commod = ""AP"" GROUP BY distst ORDER BY count(*) DESC LIMIT 1","['SELECT', 'distst', 'FROM', 'sampledata15', 'WHERE', 'commod', '=', '""AP""', 'GROUP', 'BY', 'distst', 'ORDER', 'BY', 'count(*)', 'DESC', 'LIMIT', '1']",Which state has the most apple collected?,"['Which', 'state', 'has', 'the', 'most', 'apple', 'collected?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 18, False], None]]]], 'where': [[False, 2, [0, [0, 7, False], None], '""AP""', None]], 'groupBy': [[0, 18, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}"
Pesticide,"SELECT growst FROM sampledata15 WHERE commod = ""AP"" GROUP BY growst ORDER BY count(*) DESC LIMIT 1","['SELECT', 'growst', 'FROM', 'sampledata15', 'WHERE', 'commod', '=', '""AP""', 'GROUP', 'BY', 'growst', 'ORDER', 'BY', 'count(*)', 'DESC', 'LIMIT', '1']",Which state has grow the most apples?,"['Which', 'state', 'has', 'grow', 'the', 'most', 'apples?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 16, False], None]]]], 'where': [[False, 2, [0, [0, 7, False], None], '""AP""', None]], 'groupBy': [[0, 16, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}"
Pesticide,SELECT max(pestcode) FROM resultsdata15,"['SELECT', 'max(pestcode)', 'FROM', 'resultsdata15']",Which kind of pesticide is the easiest to be tested?,"['Which', 'kind', 'of', 'pesticide', 'is', 'the', 'easiest', 'to', 'be', 'tested?']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[1, [0, [0, 23, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}"
StudentMathScore,SELECT T2.state FROM FINREV_FED_KEY_17 as T2 JOIN FINREV_FED_17 as T1 ON T1.state_code = T2.State_Code GROUP BY T1.state_code ORDER BY sum(t_fed_rev),"['SELECT', 'T2.state', 'FROM', 'FINREV_FED_KEY_17', 'as', 'T2', 'JOIN', 'FINREV_FED_17', 'as', 'T1', 'ON', 'T1.state_code', '=', 'T2.State_Code', 'GROUP', 'BY', 'T1.state_code', 'ORDER', 'BY', 'sum(t_fed_rev)']",What are the top five states in descending order in terms of revenue provided to school districts?,"['What', 'are', 'the', 'top', 'five', 'states', 'in', 'descending', 'order', 'in', 'terms', 'of', 'revenue', 'provided', 'to', 'school', 'districts?']","{'from': {'table_units': [['table_unit', 2], ['table_unit', 0]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 13, False], None]]}, 'select': [False, [[0, [0, [0, 14, False], None]]]], 'where': [], 'groupBy': [[0, 1, False]], 'having': [], 'orderBy': ['asc', [[0, [4, 6, False], None]]], 'limit': None, 'intersect': None, 'union': None, 'except': None}"
StudentMathScore,SELECT T2.state FROM FINREV_FED_17 as T1 JOIN FINREV_FED_KEY_17 as T2 ON T1.state_code = T2.state_code GROUP BY T2.state ORDER BY count(school_district) DESC LIMIT 5,"['SELECT', 'T2.state', 'FROM', 'FINREV_FED_17', 'as', 'T1', 'JOIN', 'FINREV_FED_KEY_17', 'as', 'T2', 'ON', 'T1.state_code', '=', 'T2.state_code', 'GROUP', 'BY', 'T2.state', 'ORDER', 'BY', 'count(school_district)', 'DESC', 'LIMIT', '5']",What are the top five states in descending order in terms of the number of school districts per state?,"['What', 'are', 'the', 'top', 'five', 'states', 'in', 'descending', 'order', 'in', 'terms', 'of', 'the', 'number', 'of', 'school', 'districts', 'per', 'state?']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 2]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 13, False], None]]}, 'select': [False, [[0, [0, [0, 14, False], None]]]], 'where': [], 'groupBy': [[0, 14, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 3, False], None]]], 'limit': 5, 'intersect': None, 'union': None, 'except': None}"
StudentMathScore,"SELECT state, max(year) FROM NDECoreExcel_Math_Grade8 GROUP BY state","['SELECT', 'state,', 'max(year)', 'FROM', 'NDECoreExcel_Math_Grade8', 'GROUP', 'BY', 'state']","For each state, when was the last time the average score data was collected?","['For', 'each', 'state,', 'when', 'was', 'the', 'last', 'time', 'the', 'average', 'score', 'data', 'was', 'collected?']","{'from': {'table_units': [['table_unit', 1]], 'conds': []}, 'select': [False, [[0, [0, [0, 10, False], None]], [1, [0, [0, 9, False], None]]]], 'where': [], 'groupBy': [[0, 10, False]], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}"
TheHistoryofBaseball,"SELECT T2.birth_state FROM player AS T2 JOIN hall_of_fame as T1 ON T1.player_id = T2.player_id WHERE inducted = ""Y"" GROUP BY T2.birth_state ORDER BY count(T1.player_id) DESC LIMIT 1","['SELECT', 'T2.birth_state', 'FROM', 'player', 'AS', 'T2', 'JOIN', 'hall_of_fame', 'as', 'T1', 'ON', 'T1.player_id', '=', 'T2.player_id', 'WHERE', 'inducted', '=', '""Y""', 'GROUP', 'BY', 'T2.birth_state', 'ORDER', 'BY', 'count(T1.player_id)', 'DESC', 'LIMIT', '1']",Which states have produced the largest number of candidates inducted into the hall of fame?,"['Which', 'states', 'have', 'produced', 'the', 'largest', 'number', 'of', 'candidates', 'inducted', 'into', 'the', 'hall', 'of', 'fame?']","{'from': {'table_units': [['table_unit', 4], ['table_unit', 0]], 'conds': [[False, 2, [0, [0, 1, False], None], [0, 28, False], None]]}, 'select': [False, [[0, [0, [0, 33, False], None]]]], 'where': [[False, 2, [0, [0, 7, False], None], '""Y""', None]], 'groupBy': [[0, 33, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 1, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}"
TheHistoryofBaseball,SELECT league_id FROM salary GROUP BY league_id ORDER BY sum(salary) DESC LIMIT 1,"['SELECT', 'league_id', 'FROM', 'salary', 'GROUP', 'BY', 'league_id', 'ORDER', 'BY', 'sum(salary)', 'DESC', 'LIMIT', '1']",What is the top league that pays the most to their players?,"['What', 'is', 'the', 'top', 'league', 'that', 'pays', 'the', 'most', 'to', 'their', 'players?']","{'from': {'table_units': [['table_unit', 3]], 'conds': []}, 'select': [False, [[0, [0, [0, 25, False], None]]]], 'where': [], 'groupBy': [[0, 25, False]], 'having': [], 'orderBy': ['desc', [[0, [4, 27, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}"
TheHistoryofBaseball,SELECT league_id FROM salary GROUP BY league_id ORDER BY max(salary) - min(salary) DESC LIMIT 1,"['SELECT', 'league_id', 'FROM', 'salary', 'GROUP', 'BY', 'league_id', 'ORDER', 'BY', 'max(salary)', '-', 'min(salary)', 'DESC', 'LIMIT', '1']",Which leage have the largest difference in pay among their team players?,"['Which', 'leage', 'have', 'the', 'largest', 'difference', 'in', 'pay', 'among', 'their', 'team', 'players?']","{'from': {'table_units': [['table_unit', 3]], 'conds': []}, 'select': [False, [[0, [0, [0, 25, False], None]]]], 'where': [], 'groupBy': [[0, 25, False]], 'having': [], 'orderBy': ['desc', [[1, [1, 27, False], [2, 27, False]]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}"
WhatCDHipHop,SELECT artist FROM torrents GROUP BY artist ORDER BY sum(totalSnatched) DESC LIMIT 10,"['SELECT', 'artist', 'FROM', 'torrents', 'GROUP', 'BY', 'artist', 'ORDER', 'BY', 'sum(totalSnatched)', 'DESC', 'LIMIT', '10']",What are name of top 10 artists or groups?,"['What', 'are', 'name', 'of', 'top', '10', 'artists', 'or', 'groups?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 3, False], None]]]], 'where': [], 'groupBy': [[0, 3, False]], 'having': [], 'orderBy': ['desc', [[0, [4, 2, False], None]]], 'limit': 10, 'intersect': None, 'union': None, 'except': None}"
WhatCDHipHop,SELECT releaseType FROM torrents GROUP BY releaseType ORDER BY sum(totalSnatched) DESC LIMIT 10,"['SELECT', 'releaseType', 'FROM', 'torrents', 'GROUP', 'BY', 'releaseType', 'ORDER', 'BY', 'sum(totalSnatched)', 'DESC', 'LIMIT', '10']",What are the top 10 torrent release types?,"['What', 'are', 'the', 'top', '10', 'torrent', 'release', 'types?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [[0, 5, False]], 'having': [], 'orderBy': ['desc', [[0, [4, 2, False], None]]], 'limit': 10, 'intersect': None, 'union': None, 'except': None}"
WhatCDHipHop,"SELECT T2.groupName FROM torrents as T2 JOIN tags as T1 ON T1.id = T2.id WHERE T1.tag = ""pop"" and T2.releaseType = ""album"" ORDER BY T2.totalSnatched DESC LIMIT 20","['SELECT', 'T2.groupName', 'FROM', 'torrents', 'as', 'T2', 'JOIN', 'tags', 'as', 'T1', 'ON', 'T1.id', '=', 'T2.id', 'WHERE', 'T1.tag', '=', '""pop""', 'and', 'T2.releaseType', '=', '""album""', 'ORDER', 'BY', 'T2.totalSnatched', 'DESC', 'LIMIT', '20']",What are the top 20 pop albums?,"['What', 'are', 'the', 'top', '20', 'pop', 'albums?']","{'from': {'table_units': [['table_unit', 0], ['table_unit', 1]], 'conds': [[False, 2, [0, [0, 9, False], None], [0, 7, False], None]]}, 'select': [False, [[0, [0, [0, 1, False], None]]]], 'where': [[False, 2, [0, [0, 10, False], None], '""pop""', None], 'and', [False, 2, [0, [0, 5, False], None], '""album""', None]], 'groupBy': [], 'having': [], 'orderBy': ['desc', [[0, [0, 2, False], None]]], 'limit': 20, 'intersect': None, 'union': None, 'except': None}"